City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,humberto de campos,-2.5983,-43.4611,23.900000000000034,92,8,1.78,BR,1690255383
151,lienz,46.8289,12.769,18.439999999999998,97,100,1.33,AT,1690255383
152,noosa heads,-26.3833,153.15,20.74000000000001,61,88,8.66,AU,1690255384
153,tayshet,55.9342,98.0044,16.08000000000004,87,95,3.66,RU,1690255384
154,umm ruwaba,12.9061,31.2158,29.58000000000004,51,71,4.22,SD,1690255384
155,atafu village,-8.5421,-172.5159,28.879999999999995,72,55,8.6,TK,1690255384
156,bredasdorp,-34.5322,20.0403,6.080000000000041,75,0,1.79,ZA,1690255385
157,remire-montjoly,4.9167,-52.2667,24.02000000000004,100,75,0.0,GF,1690255175
158,kapa'a,22.0752,-159.319,28.99000000000001,87,100,8.23,US,1690255385
159,crane,31.3974,-102.3501,32.450000000000045,22,0,5.1,US,1690255386
160,ceeldheer,3.8488,47.1806,24.120000000000005,83,61,9.42,SO,1690255386
161,inirida,3.8653,-67.9239,22.900000000000034,97,82,1.04,CO,1690255386
162,lensk,60.7253,114.9278,32.33000000000004,30,1,2.33,RU,1690255386
163,tanda,26.55,82.65,29.910000000000025,72,95,7.11,IN,1690255386
164,velikiye luki,56.34,30.5452,12.520000000000039,97,62,2.03,RU,1690255387
165,happy valley-goose bay,53.3168,-60.3315,16.170000000000016,82,75,3.09,CA,1690255387
166,fort bragg,35.139,-79.006,25.910000000000025,86,20,0.0,US,1690255197
167,port hedland,-20.3167,118.5667,23.03000000000003,25,0,10.29,AU,1690255387
168,puerto ayora,-0.7393,-90.3518,24.75,96,57,4.02,EC,1690255388
169,vanimo,-2.6741,141.3028,26.840000000000032,85,79,0.75,PG,1690255388
170,chake chake,-5.2459,39.7666,22.80000000000001,87,47,3.5,TZ,1690255388
171,namibe,-15.1961,12.1522,16.160000000000025,88,44,3.15,AO,1690255388
172,vorgashor,67.5833,63.95,19.340000000000032,66,82,2.38,RU,1690255389
173,la ronge,55.1001,-105.2842,22.140000000000043,60,0,1.03,CA,1690255389
174,sechura,-5.5569,-80.8222,22.170000000000016,76,100,6.48,PE,1690255389
175,talnakh,69.4865,88.3972,18.450000000000045,54,29,1.75,RU,1690255124
176,arteche,12.2645,125.4048,29.310000000000002,72,100,6.9,PH,1690255389
177,shiraz,29.6036,52.5388,25.689999999999998,38,40,0.0,IR,1690255390
178,nago,26.5881,127.9761,32.47000000000003,71,22,6.8,JP,1690255390
179,port mathurin,-19.6833,63.4167,23.450000000000045,75,90,9.5,MU,1690255092
180,sheksna,59.21,38.5107,8.980000000000018,94,9,1.58,RU,1690255390
181,miguel pereira,-22.4539,-43.4689,15.960000000000036,73,86,1.76,BR,1690255195
182,macia,-25.0269,33.0989,17.700000000000045,84,100,3.56,MZ,1690255391
183,angaur state,6.906,134.13,28.230000000000018,81,100,5.18,PW,1690255391
184,susuman,62.7833,148.1667,24.25,37,58,5.19,RU,1690255391
185,haiku-pauwela,20.9219,-156.3051,28.010000000000048,65,20,11.32,US,1690255391
186,cabo san lucas,22.8909,-109.9124,32.01000000000005,75,75,4.63,MX,1690255392
187,ancud,-41.8697,-73.8203,9.300000000000011,84,68,8.54,CL,1690255392
188,waingapu,-9.6567,120.2641,26.810000000000002,62,34,7.23,ID,1690255392
189,punta arenas,-53.15,-70.9167,-1.7799999999999727,86,100,1.17,CL,1690255290
190,codrington,-38.2667,141.9667,14.060000000000002,63,7,1.79,AU,1690255393
191,new norfolk,-42.7826,147.0587,13.840000000000032,52,100,2.3,AU,1690255393
192,dudinka,69.4058,86.1778,18.680000000000007,48,52,6.59,RU,1690255393
193,griffith,41.5284,-87.4237,24.05000000000001,77,0,0.0,US,1690255393
194,morigaon,26.3796,92.3415,28.160000000000025,85,99,1.08,IN,1690255394
195,maintirano,-18.0667,44.0167,21.07000000000005,85,75,4.35,MG,1690255394
196,hotan,37.0997,79.9269,30.53000000000003,24,98,5.78,CN,1690255394
197,uturoa,-16.7333,-151.4333,26.810000000000002,83,11,6.17,PF,1690255394
198,ambon,-3.6954,128.1814,28.08000000000004,65,40,4.12,ID,1690255395
199,miyaly,48.8844,53.7836,25.28000000000003,57,100,4.56,KZ,1690255395
200,polyarnyy,69.1989,33.4478,9.670000000000016,94,100,3.13,RU,1690255395
201,bikenibeu village,1.3673,173.1241,30.980000000000018,70,40,1.54,KI,1690255159
202,north battleford,52.7834,-108.2847,26.05000000000001,57,0,7.72,CA,1690255396
203,forster,-32.1667,152.5167,17.99000000000001,61,76,3.86,AU,1690255396
204,numata,36.6333,139.05,36.74000000000001,10,1,2.03,JP,1690255396
